date,product,category,region,quantity,unit_price,revenue,cost,profit,customer_segment
2024-01-05,Laptop Pro 15,Electronics,North,12,1299.99,15599.88,9359.93,6239.95,Enterprise
2024-01-08,Wireless Mouse,Accessories,South,85,29.99,2549.15,1274.58,1274.57,Consumer
2024-01-10,Standing Desk,Furniture,East,8,549.99,4399.92,2639.95,1759.97,Enterprise
2024-01-12,USB-C Hub,Accessories,West,120,49.99,5998.80,2999.40,2999.40,Consumer
2024-01-15,Monitor 27in,Electronics,North,25,449.99,11249.75,6749.85,4499.90,Enterprise
2024-01-18,Keyboard Mech,Accessories,South,65,89.99,5849.35,2924.68,2924.67,Small Business
2024-01-22,Office Chair,Furniture,East,15,399.99,5999.85,3599.91,2399.94,Enterprise
2024-01-25,Webcam HD,Accessories,West,95,79.99,7599.05,3799.53,3799.52,Consumer
2024-01-28,Laptop Air 13,Electronics,North,18,999.99,17999.82,10799.89,7199.93,Consumer
2024-02-02,Desk Lamp LED,Furniture,South,42,34.99,1469.58,734.79,734.79,Consumer
2024-02-05,Laptop Pro 15,Electronics,East,10,1299.99,12999.90,7799.94,5199.96,Enterprise
2024-02-08,Wireless Mouse,Accessories,West,110,29.99,3298.90,1649.45,1649.45,Consumer
2024-02-12,Standing Desk,Furniture,North,12,549.99,6599.88,3959.93,2639.95,Small Business
2024-02-15,USB-C Hub,Accessories,South,90,49.99,4499.10,2249.55,2249.55,Consumer
2024-02-18,Monitor 27in,Electronics,East,30,449.99,13499.70,8099.82,5399.88,Enterprise
2024-02-22,Keyboard Mech,Accessories,West,78,89.99,7019.22,3509.61,3509.61,Small Business
2024-02-25,Office Chair,Furniture,North,20,399.99,7999.80,4799.88,3199.92,Enterprise
2024-02-28,Webcam HD,Accessories,South,88,79.99,7039.12,3519.56,3519.56,Consumer
2024-03-03,Laptop Air 13,Electronics,East,22,999.99,21999.78,13199.87,8799.91,Consumer
2024-03-06,Desk Lamp LED,Furniture,West,55,34.99,1924.45,962.23,962.22,Consumer
2024-03-10,Laptop Pro 15,Electronics,South,15,1299.99,19499.85,11699.91,7799.94,Enterprise
2024-03-12,Wireless Mouse,Accessories,North,130,29.99,3898.70,1949.35,1949.35,Consumer
2024-03-15,Standing Desk,Furniture,East,6,549.99,3299.94,1979.96,1319.98,Small Business
2024-03-18,USB-C Hub,Accessories,South,105,49.99,5248.95,2624.48,2624.47,Consumer
2024-03-22,Monitor 27in,Electronics,West,28,449.99,12599.72,7559.83,5039.89,Enterprise
2024-03-25,Keyboard Mech,Accessories,North,72,89.99,6479.28,3239.64,3239.64,Small Business
2024-03-28,Office Chair,Furniture,South,18,399.99,7199.82,4319.89,2879.93,Enterprise
2024-04-01,Webcam HD,Accessories,East,100,79.99,7999.00,3999.50,3999.50,Consumer
2024-04-05,Laptop Air 13,Electronics,West,20,999.99,19999.80,11999.88,7999.92,Consumer
2024-04-08,Desk Lamp LED,Furniture,North,60,34.99,2099.40,1049.70,1049.70,Small Business
2024-04-12,Laptop Pro 15,Electronics,East,14,1299.99,18199.86,10919.92,7279.94,Enterprise
2024-04-15,Wireless Mouse,Accessories,South,95,29.99,2849.05,1424.53,1424.52,Consumer
2024-04-18,Standing Desk,Furniture,West,10,549.99,5499.90,3299.94,2199.96,Enterprise
2024-04-22,USB-C Hub,Accessories,North,115,49.99,5748.85,2874.43,2874.42,Consumer
2024-04-25,Monitor 27in,Electronics,South,32,449.99,14399.68,8639.81,5759.87,Enterprise
2024-04-28,Keyboard Mech,Accessories,East,80,89.99,7199.20,3599.60,3599.60,Small Business
2024-05-02,Office Chair,Furniture,West,22,399.99,8799.78,5279.87,3519.91,Enterprise
2024-05-05,Webcam HD,Accessories,North,92,79.99,7359.08,3679.54,3679.54,Consumer
2024-05-08,Laptop Air 13,Electronics,South,25,999.99,24999.75,14999.85,9999.90,Consumer
2024-05-12,Desk Lamp LED,Furniture,East,48,34.99,1679.52,839.76,839.76,Consumer
2024-05-15,Laptop Pro 15,Electronics,West,16,1299.99,20799.84,12479.90,8319.94,Enterprise
2024-05-18,Wireless Mouse,Accessories,North,140,29.99,4198.60,2099.30,2099.30,Consumer
2024-05-22,Standing Desk,Furniture,South,9,549.99,4949.91,2969.95,1979.96,Small Business
2024-05-25,USB-C Hub,Accessories,East,100,49.99,4999.00,2499.50,2499.50,Consumer
2024-05-28,Monitor 27in,Electronics,North,35,449.99,15749.65,9449.79,6299.86,Enterprise
2024-06-01,Keyboard Mech,Accessories,West,85,89.99,7649.15,3824.58,3824.57,Small Business
2024-06-05,Office Chair,Furniture,North,25,399.99,9999.75,5999.85,3999.90,Enterprise
2024-06-08,Webcam HD,Accessories,South,105,79.99,8398.95,4199.48,4199.47,Consumer
2024-06-12,Laptop Air 13,Electronics,East,28,999.99,27999.72,16799.83,11199.89,Consumer
2024-06-15,Desk Lamp LED,Furniture,West,65,34.99,2274.35,1137.18,1137.17,Small Business
